red,green,blue,time
108.8576,147.0808,133.2832,0.38381052017211914
103.3508,144.9068,129.0924,0.41559410095214844
104.7128,140.2472,130.548,0.44441890716552734
106.1156,135.5212,127.8716,0.4832425117492676
94.696,129.4484,119.9488,0.5158183574676514
95.8772,134.5924,123.9444,0.548001766204834
87.0604,128.2884,115.0932,0.5800063610076904
99.1208,131.978,123.0448,0.615964412689209
89.3552,128.8832,116.8864,0.647974967956543
93.2852,132.4532,119.9876,0.6799378395080566
94.778,131.9928,120.622,0.7159476280212402
91.0328,129.1824,117.4712,0.7480175495147705
97.364,131.4212,120.5192,0.7800133228302002
90.0444,128.4324,116.602,0.8159699440002441
96.2296,133.0732,121.9896,0.8479781150817871
90.5768,131.8772,118.7684,0.8840322494506836
94.4136,131.5668,120.118,0.9158973693847656
94.2752,134.1208,122.0308,0.9479906558990479
87.9508,123.604,113.7628,0.9839961528778076
90.2356,130.8252,117.9524,1.015848159790039
87.4764,127.6668,115.2952,1.0479578971862793
96.5524,133.0368,122.2552,1.083907127380371
84.6492,127.3328,114.0564,1.1159307956695557
93.7944,130.6232,119.936,1.1479573249816895
84.4244,121.4116,110.8176,1.1840200424194336
88.9068,123.3924,113.6396,1.2159991264343262
90.4724,127.8712,116.676,1.2479579448699951
82.4208,122.3772,110.4388,1.2839703559875488
96.858,128.354,120.486,1.315948247909546
91.8324,129.8496,118.0372,1.3480234146118164
88.4872,123.0456,113.9224,1.3839335441589355
83.6192,121.8892,110.8052,1.415999174118042
93.9096,126.9048,117.954,1.447953224182129
90.1632,133.846,119.9292,1.4839634895324707
89.0924,129.866,116.666,1.5159821510314941
92.7236,132.0556,120.2288,1.54787015914917
84.0988,120.9076,110.28,1.579986572265625
93.4888,123.1408,116.8696,1.6159799098968506
86.7332,126.6412,114.6072,1.6479651927947998
94.5132,123.43,116.9204,1.6800026893615723
89.7128,129.556,117.4996,1.7159395217895508
89.2356,124.4304,115.2904,1.747985601425171
89.206,130.9564,118.2744,1.7799944877624512
88.8644,124.6912,114.6228,1.8159866333007812
92.0112,126.7704,117.8644,1.8479692935943604
87.7384,124.6108,114.0428,1.8800477981567383
92.26,131.4192,119.5792,1.9159455299377441
86.8552,129.2912,116.2736,1.9479656219482422
86.4316,124.4592,112.6624,1.979990005493164
82.5248,125.8444,111.9384,2.0159711837768555
91.9064,133.1144,120.7208,2.048095464706421
92.2204,131.7464,120.0664,2.0800790786743164
89.0756,125.5016,115.18,2.116018295288086
91.316,132.7716,119.2956,2.148127794265747
87.1096,125.1384,114.0852,2.1840004920959473
93.3988,130.5976,119.9804,2.216015577316284
83.6428,124.6304,112.6552,2.2479677200317383
90.7316,124.7012,115.7164,2.2839043140411377
89.2656,127.4868,116.7184,2.315962791442871
83.7676,123.73,112.1704,2.3479771614074707
86.1668,127.4972,114.8468,2.3840153217315674
86.638,127.9376,114.8764,2.4159228801727295
92.62,132.0088,120.312,2.4479732513427734
87.6924,125.5072,114.8848,2.4840168952941895
88.5048,127.4336,115.6892,2.5160253047943115
89.9756,130.1384,117.9076,2.5478999614715576
86.3776,123.0804,112.4148,2.579925298690796
83.4716,127.278,113.8744,2.616086483001709
80.9092,113.9148,106.2584,2.648071050643921
92.2408,131.9164,119.9636,2.67997407913208
88.5796,127.5132,116.1532,2.7159245014190674
95.1228,127.2596,119.47,2.7480673789978027
84.8052,125.3776,113.2556,2.77992844581604
88.4112,124.8944,115.0588,2.815988302230835
80.3108,120.1336,108.5496,2.847975015640259
86.9228,120.2268,112.4856,2.880091905593872
82.836,126.4672,113.0296,2.9159507751464844
85.5868,120.774,111.2844,2.948042154312134
85.3992,121.4548,111.9992,2.980008125305176
85.0868,125.4576,113.9836,3.015998601913452
97.9236,128.892,122.3704,3.048016309738159
88.5924,131.3456,118.3412,3.0800318717956543
87.2076,124.6956,113.7508,3.115945339202881
89.0808,128.9008,117.064,3.1480095386505127
89.1764,126.7756,116.6184,3.180094003677368
88.8272,129.3496,117.234,3.216010332107544
82.4516,119.7824,109.7336,3.2479987144470215
91.324,121.4844,115.0652,3.2800559997558594
86.5716,125.0172,114.5952,3.316021203994751
90.6724,132.1124,119.3688,3.348045825958252
84.2168,120.4836,111.2492,3.380059242248535
92.9252,121.898,116.6152,3.41597580909729
88.132,124.5812,115.142,3.4479613304138184
85.988,116.6108,110.5096,3.4800400733947754
88.6028,127.2348,116.38,3.5159897804260254
87.68,127.6008,116.7188,3.5480127334594727
89.3628,121.8456,115.0288,3.5800344944000244
86.4996,127.1196,114.5804,3.6159675121307373
88.7096,127.952,116.7748,3.6479971408843994
86.1312,128.1816,115.4788,3.6800601482391357
80.6672,118.7168,108.3372,3.716015100479126
91.0376,128.218,118.3232,3.747999668121338
81.6796,118.2556,109.222,3.7800285816192627
85.2988,119.3072,111.448,3.816002607345581
85.768,122.35,112.4616,3.848037004470825
92.4452,129.784,119.884,3.8800196647644043
83.2224,124.5068,112.3424,3.9159905910491943
88.4748,122.2884,113.704,3.948085069656372
87.3568,129.3336,116.9288,3.98006534576416
78.756,107.0488,102.9348,4.01599383354187
87.6604,128.624,117.1256,4.047998428344727
83.7756,125.8028,114.0604,4.080064058303833
90.626,126.7704,117.462,4.115993022918701
85.0532,125.4692,114.3548,4.148061037063599
89.4228,131.0076,118.7308,4.180083274841309
82.0032,124.7624,112.3772,4.2160398960113525
88.1752,128.582,116.5976,4.248031139373779
86.03,126.9812,114.7556,4.280076265335083
76.9776,113.3812,104.216,4.316035270690918
93.5808,124.4812,118.7732,4.34804630279541
78.0112,112.1904,105.2808,4.380076885223389
86.34,120.666,112.4444,4.416163444519043
84.7564,126.6692,115.0608,4.447971820831299
89.3908,129.1032,117.6096,4.4800543785095215
81.084,123.6756,111.844,4.516057014465332
88.8772,127.486,116.452,4.547995328903198
85.4068,123.0792,113.2756,4.580024242401123
80.604,114.4452,106.2416,4.6160383224487305
88.4272,125.1852,115.8096,4.648113489151001
81.3568,122.9784,111.7848,4.680134057998657
90.4668,123.9004,115.886,4.716014862060547
81.838,119.2384,110.1804,4.748075246810913
89.1624,129.5628,118.5216,4.780062913894653
83.2096,122.838,111.614,4.816000938415527
88.8024,124.9436,116.5912,4.848062515258789
87.9072,128.202,117.2164,4.880062818527222
76.4672,113.836,103.7944,4.916306257247925
82.5756,118.1136,109.3784,4.948131322860718
83.9988,128.4636,115.292,4.980092763900757
84.2276,118.644,110.1592,5.0160510540008545
81.2284,123.5904,111.942,5.047978639602661
90.1504,131.7972,119.7936,5.08004903793335
80.1096,120.966,109.364,5.11602258682251
78.6656,116.1808,106.3184,5.14803671836853
83.664,120.6344,112.018,5.180124521255493
82.6756,121.4156,112.046,5.2159998416900635
88.0476,125.3596,116.0384,5.24807596206665
81.0392,117.372,108.478,5.280102491378784
89.7788,124.7716,116.1944,5.316041946411133
87.6492,130.4016,118.2968,5.348042249679565
86.5088,126.7884,115.9704,5.380045652389526
83.6424,121.1512,111.5556,5.416018486022949
78.9084,113.6604,105.4964,5.448041200637817
90.1248,125.2884,117.8056,5.480087041854858
86.324,123.3556,114.2552,5.516048431396484
84.0512,115.8688,109.7976,5.548050165176392
81.1032,120.4788,110.174,5.580109596252441
83.7564,123.5136,112.588,5.616087436676025
87.7464,128.7056,117.302,5.648061513900757
84.7972,122.0312,113.0548,5.680105924606323
84.4568,126.5516,114.7356,5.712127447128296
83.36,126.3128,114.582,5.748063802719116
85.0404,123.4304,113.4956,5.780056715011597
88.5176,127.8252,117.6016,5.812113523483276
89.9956,128.8412,118.9248,5.848043441772461
84.3924,127.3992,115.4196,5.880099534988403
88.1216,129.3272,118.5208,5.91210675239563
80.46,123.2652,111.7368,5.9480791091918945
84.0844,124.6504,113.7796,5.980059385299683
83.9892,126.6404,114.5696,6.012088775634766
81.2228,123.0256,111.1564,6.048089504241943
82.5704,119.0292,110.4964,6.080126523971558
85.278,121.4564,113.0568,6.112097263336182
95.6048,125.882,120.8032,6.148077726364136
85.8944,128.728,116.874,6.1801793575286865
86.424,124.7964,114.5724,6.216169357299805
83.2764,121.8676,112.8276,6.248054504394531
82.3756,117.418,109.4792,6.280087947845459
81.3556,118.7384,109.786,6.3160459995269775
78.408,119.5648,108.7792,6.348037242889404
79.732,109.3,104.272,6.380155563354492
80.9956,124.9692,112.9092,6.416023254394531
94.1944,131.0392,122.3364,6.448023319244385
79.3972,122.7236,110.9344,6.480091094970703
86.9448,124.0208,114.8092,6.516071796417236
76.3416,115.0088,105.46,6.548018932342529
78.9212,117.9528,107.984,6.580090522766113
86.0568,120.7032,113.1936,6.616032600402832
78.6332,120.4252,109.1896,6.648184776306152
82.8732,122.5964,113.072,6.680110216140747
79.8668,122.6416,111.04,6.712103605270386
84.1952,124.1728,113.6812,6.748175859451294
82.8656,123.798,113.4572,6.780102491378784
81.0056,118.5108,108.7616,6.812177658081055
84.784,123.8676,113.8628,6.848057985305786
82.1404,126.0336,114.1568,6.880070209503174
89.4008,128.6356,118.8748,6.912039041519165
82.1636,123.47,112.83,6.948042154312134
89.7048,118.9048,114.5552,6.980104684829712
83.9044,128.8412,116.3012,7.012115478515625
80.168,115.0472,107.4356,7.047904968261719
78.7076,118.934,109.2296,7.0800862312316895
84.9352,123.9616,113.9296,7.1121134757995605
78.0632,115.0364,106.44,7.148047924041748
82.8732,126.0924,114.4264,7.180013179779053
86.724,124.8692,115.608,7.212090015411377
71.944,109.6016,100.9576,7.248006343841553
87.1476,129.08,118.1144,7.280020236968994
83.97,127.6552,115.6804,7.31207799911499
82.4792,122.7404,112.6984,7.348022699356079
84.8548,125.508,115.0036,7.380043268203735
82.0696,121.0428,111.318,7.412120342254639
87.8248,125.6444,116.7156,7.448108673095703
81.0496,121.4712,110.6308,7.480076551437378
91.6228,124.9188,118.2056,7.516066074371338
81.2324,122.662,111.9888,7.5480616092681885
91.118,123.526,117.804,7.580145597457886
84.3356,119.3708,112.1284,7.616036891937256
82.8488,118.3368,110.7384,7.648043155670166
87.4912,122.2704,114.7504,7.680063486099243
85.0616,123.6744,114.0184,7.712047100067139
89.062,119.0568,114.1456,7.748029708862305
74.7008,114.698,105.2228,7.780086278915405
83.1476,119.3556,111.6416,7.812083721160889
82.0976,125.826,114.3448,7.848050594329834
86.3568,125.0632,116.2248,7.880082845687866
78.0432,118.8584,108.4856,7.912041187286377
86.064,123.9216,115.1784,7.948118686676025
79.8216,124.2252,112.6488,7.980120897293091
84.5224,123.8496,114.6632,8.012104034423828
86.4124,123.3456,115.1652,8.048073053359985
78.0448,114.3372,106.8928,8.080086946487427
92.2496,125.7688,118.4744,8.112123250961304
82.722,119.3764,111.0988,8.148003101348877
82.1936,117.9624,110.6136,8.180033445358276
80.622,121.6604,111.346,8.21208906173706
78.9492,116.4752,107.8736,8.248159170150757
87.612,127.9992,118.464,8.280118227005005
83.0996,121.7996,113.4644,8.31210446357727
83.9212,121.8416,113.5244,8.348031997680664
80.0932,120.8088,110.984,8.380088090896606
84.348,116.0116,110.4148,8.412091732025146
81.566,121.966,111.762,8.448028564453125
84.8044,119.144,112.332,8.480061292648315
81.11,118.33,110.4768,8.512091398239136
78.6704,119.876,109.6652,8.54805326461792
86.982,122.024,114.9408,8.580127239227295
80.1672,122.4188,111.6536,8.612147092819214
82.1968,119.0148,111.1604,8.648048400878906
79.8676,121.4688,111.5268,8.680108308792114
85.7332,125.4552,115.2828,8.71210503578186
77.88,116.8304,108.1852,8.748017072677612
84.3184,118.7732,111.9044,8.780076742172241
81.3652,124.1568,113.5812,8.812056303024292
79.5632,121.7916,111.8868,8.848037242889404
83.6796,120.2548,112.8528,8.880135774612427
76.4584,114.8276,105.7696,8.912053108215332
82.1912,119.2816,111.6808,8.948017358779907
81.3088,124.338,113.4552,8.980119705200195
86.8852,126.3768,117.5892,9.012098789215088
83.4272,127.6756,116.0496,9.048054456710815
83.1404,121.6352,112.8288,9.080044507980347
88.1244,128.484,118.2316,9.112072944641113
82.0652,123.4332,113.1068,9.14806342124939
80.9028,119.2792,110.436,9.180092334747314
81.0816,122.1972,112.1012,9.212088584899902
79.3492,112.7672,106.27,9.248011350631714
85.446,128.504,117.3236,9.280065774917603
91.2252,126.378,119.7296,9.312087774276733
78.3632,120.5416,110.5028,9.348095655441284
80.9368,121.4804,111.5464,9.380078554153442
84.8564,124.8344,115.0564,9.412096738815308
77.4216,118.7232,108.3416,9.44804072380066
81.5172,116.9468,110.25,9.480098009109497
80.8992,123.0308,112.626,9.512117624282837
87.0556,121.5344,114.8496,9.54805064201355
76.058,117.346,107.6696,9.580077648162842
82.6084,119.8908,112.1968,9.612101554870605
85.8952,121.9552,114.4888,9.648066997528076
85.0708,120.248,113.6824,9.680105686187744
84.606,119.6864,112.9164,9.71214771270752
77.934,119.8316,109.6224,9.748034000396729
82.5988,117.0056,110.3804,9.780168533325195
84.3448,128.706,116.8044,9.812071084976196
82.6384,121.0724,112.6376,9.848050355911255
86.65,125.3832,116.8304,9.880068063735962
85.4028,113.9212,110.7828,9.91209626197815
87.2712,123.5616,116.0248,9.94804072380066
83.2556,120.0724,113.5968,9.980120420455933
83.456,120.1984,112.5632,10.012113571166992
78.036,120.1808,108.4516,10.044131517410278
82.3336,115.5028,110.3452,10.080162048339844
83.628,126.5316,115.5596,10.112107515335083
78.6808,108.0692,105.1736,10.144189596176147
81.0324,116.772,110.308,10.18015718460083
86.204,126.6272,116.6032,10.212180137634277
81.8768,123.1128,112.8196,10.242840766906738
86.698,126.1744,116.5592,10.28010368347168
88.094,116.4092,113.8484,10.31210708618164
78.6736,121.824,111.2876,10.348054885864258
82.958,116.6276,110.5096,10.38007378578186
80.0376,121.1764,111.5876,10.412101030349731
79.3628,119.6092,109.682,10.448079109191895
75.09,112.6272,104.4132,10.48007082939148
80.156,119.5796,111.3436,10.51211166381836
87.0024,127.874,117.3404,10.548088788986206
83.8444,125.1228,114.8472,10.580116748809814
87.1752,127.0908,117.574,10.612086296081543
76.2616,116.7628,107.1996,10.648064374923706
79.1876,118.5644,110.0756,10.6801118850708
82.9088,120.7148,112.9848,10.712095975875854
85.6488,122.1476,115.2436,10.7480788230896
84.2976,124.7924,115.3336,10.7800931930542
83.8048,125.3336,115.5584,10.81207823753357
84.788,127.3924,116.7592,10.848075151443481
82.1012,124.5252,113.6044,10.880141019821167
86.572,127.954,118.0884,10.912071228027344
84.858,125.8232,115.7744,10.94409441947937
81.3356,107.2436,105.6192,10.98012375831604
81.124,124.3996,113.6316,11.012075185775757
87.0284,123.12,115.8448,11.044108629226685
86.1876,120.2624,114.6,11.080063581466675
86.566,125.3776,117.0616,11.112204313278198
84.7652,125.6604,115.33,11.14411973953247
75.8228,118.0424,108.2996,11.180216789245605
80.6292,110.9792,107.8996,11.212178230285645
81.5528,123.2972,113.8268,11.244199514389038
84.65,123.0236,115.2712,11.280003786087036
75.28,116.9396,107.462,11.312101364135742
83.4744,117.4844,111.5476,11.344144582748413
78.6032,119.7784,110.5472,11.380089521408081
80.1792,123.8208,113.1744,11.412072896957397
85.4864,123.9852,115.0828,11.444135665893555
77.3464,119.0156,109.2044,11.480108261108398
78.1512,113.8756,105.9808,11.512092351913452
78.2688,120.9352,111.1792,11.544116497039795
83.3408,124.9196,115.5308,11.58007264137268
82.3984,118.0096,111.4436,11.612067222595215
78.0548,112.7996,106.9444,11.644113540649414
75.4532,115.8728,106.2972,11.680124759674072
82.4212,126.228,115.9108,11.712092876434326
86.0168,125.1456,116.662,11.748084306716919
78.0196,118.482,110.1272,11.78006386756897
84.9024,122.9844,114.9808,11.812119960784912
78.1356,114.0,107.5672,11.848122119903564
78.344,114.304,107.4912,11.880098581314087
83.5148,125.23,115.566,11.912093877792358
77.4732,114.6896,107.9744,11.944139957427979
79.8632,115.5892,109.4944,11.98009181022644
80.9652,119.522,111.452,12.012097597122192
80.5416,114.192,108.5796,12.044136047363281
82.7996,126.8612,116.306,12.080068349838257
91.3548,124.8568,119.424,12.112119913101196
