red,green,blue,time
128.2976,158.2256,142.9068,0.36202335357666016
124.1176,140.6068,133.048,0.45029425621032715
130.6996,145.458,138.312,0.45842838287353516
114.2368,147.2552,131.7728,0.4635355472564697
106.1796,130.39,119.6868,0.48102617263793945
111.3796,135.5336,124.7964,0.514894962310791
100.3368,132.6408,117.9276,0.547734260559082
113.0876,138.0708,125.8924,0.5829546451568604
111.6,130.2812,122.1764,0.6149723529815674
98.7152,125.062,114.1108,0.6470952033996582
103.5524,119.7192,112.7212,0.6830224990844727
113.97,131.2292,125.014,0.7149577140808105
97.892,125.718,113.508,0.7469618320465088
100.9284,118.5944,112.6488,0.7829470634460449
107.1632,128.5984,119.6088,0.8149738311767578
102.3808,134.8656,120.276,0.8469691276550293
98.3728,119.6536,111.67,0.8829691410064697
107.332,123.9988,118.9236,0.9131622314453125
100.6208,128.352,115.5356,0.9470601081848145
87.2792,105.2928,99.058,0.9829630851745605
113.402,124.168,121.8204,1.0149734020233154
107.5112,134.7632,123.2272,1.046968698501587
101.5244,123.1264,113.192,1.0829875469207764
111.3044,130.8168,123.7556,1.1151914596557617
100.9108,130.252,118.0884,1.146941900253296
101.7416,126.6804,116.8808,1.18296217918396
108.8748,127.1924,120.9764,1.2149651050567627
99.7916,130.8452,117.4012,1.2468860149383545
98.3792,121.1404,112.4704,1.2829525470733643
105.508,128.9976,119.8956,1.314969539642334
103.7872,132.7088,119.9172,1.3469715118408203
97.1604,119.108,111.5512,1.3829634189605713
99.5488,115.704,111.0604,1.4138083457946777
89.8224,118.4384,106.6072,1.4453918933868408
89.4428,116.1976,105.34,1.483031988143921
104.1516,123.714,118.0544,1.5150630474090576
99.0412,135.1828,118.8916,1.546987771987915
83.938,111.4444,100.9432,1.5829858779907227
101.5724,119.2216,114.0072,1.6149675846099854
99.5652,131.5836,117.7708,1.647031545639038
101.4488,130.5204,118.5392,1.682939052581787
99.9212,117.5212,111.9332,1.7149810791015625
102.4284,134.4352,120.8828,1.7469043731689453
90.4848,115.1712,106.2408,1.7829346656799316
98.8156,124.432,114.476,1.8149347305297852
88.5524,115.6464,105.594,1.8469350337982178
96.2152,128.46,114.9412,1.8828675746917725
102.0908,117.8932,113.8144,1.9150466918945312
96.0608,124.9676,112.7616,1.947030782699585
91.9816,124.7856,111.8828,1.9830293655395508
102.4352,125.5064,117.83,2.015016794204712
96.1052,129.902,115.86,2.0470173358917236
83.038,111.6064,100.93,2.0830087661743164
102.0816,124.1128,116.42,2.115041732788086
98.7284,129.99,117.1736,2.146998882293701
93.7832,120.97,110.8536,2.1830122470855713
100.3632,124.3224,116.2728,2.214995861053467
95.7964,129.7504,115.486,2.2470006942749023
84.0712,115.2404,103.4424,2.282992362976074
104.3912,124.0192,118.6044,2.3151323795318604
95.3232,125.34,113.5732,2.3469996452331543
89.6188,111.5328,105.1612,2.3830044269561768
102.3196,121.586,116.4536,2.414989709854126
94.978,123.244,112.116,2.4470834732055664
90.8692,120.8188,109.7876,2.4789910316467285
103.5616,128.0616,120.368,2.515028953552246
99.8672,127.8116,117.9768,2.547003984451294
92.1448,122.0312,110.8848,2.578993082046509
90.5908,115.3972,107.8276,2.6150166988372803
99.8632,130.3592,118.628,2.647042989730835
86.9548,118.1196,106.4816,2.67903995513916
94.6244,122.4232,112.9288,2.714979410171509
96.31,123.8752,114.3724,2.747079372406006
93.1064,123.6556,112.5276,2.77909779548645
95.3608,118.7424,112.1144,2.815115213394165
96.1296,128.5664,116.5832,2.8469913005828857
88.6408,120.73,108.83,2.8789637088775635
101.5488,125.272,117.1852,2.9149773120880127
102.0276,129.6644,120.4536,2.947023630142212
95.682,131.6764,118.294,2.983008623123169
101.7228,123.4784,117.654,3.0150222778320312
92.6548,123.646,113.2228,3.047023057937622
78.2624,107.002,97.438,3.0830533504486084
95.0464,125.078,115.438,3.1150219440460205
103.5204,126.2352,120.4836,3.1470232009887695
80.0484,112.08,101.62,3.1830174922943115
92.8156,117.54,111.1844,3.2149620056152344
96.4404,125.6336,116.3096,3.2470180988311768
88.2244,121.3308,110.234,3.282979726791382
102.158,128.9344,121.366,3.315032720565796
98.0672,129.662,119.0456,3.347008466720581
90.0736,123.0768,111.5012,3.3830454349517822
89.9648,115.6076,108.5472,3.415008544921875
103.948,131.9036,124.0032,3.446988582611084
89.5136,122.0244,111.6836,3.4790198802948
95.5764,126.176,116.606,3.515026569366455
100.8488,125.6976,119.8112,3.5469908714294434
90.0584,122.718,112.28,3.579029083251953
91.278,119.654,111.842,3.615007162094116
99.2004,122.3856,117.2256,3.6470019817352295
96.4156,133.664,120.4612,3.6790049076080322
89.1088,112.5224,107.3872,3.715008497238159
97.716,131.1404,120.5328,3.7470006942749023
90.548,126.4488,114.8752,3.7790133953094482
94.1084,124.7268,115.6828,3.814973831176758
98.854,122.538,118.286,3.8469901084899902
84.5376,117.6568,107.998,3.8790290355682373
94.2068,119.6588,114.0972,3.914985179901123
90.7848,123.4892,113.9236,3.946984052658081
88.4764,125.7796,113.9432,3.979041814804077
92.3784,126.6388,116.6824,4.015082597732544
101.0792,130.3416,122.9152,4.04707145690918
94.1776,132.594,120.2868,4.079057931900024
79.7824,110.788,102.9516,4.115026950836182
92.844,123.5716,114.7904,4.147014379501343
88.7648,128.3092,115.5624,4.1789727210998535
81.4596,105.9648,102.1944,4.214978933334351
85.2704,120.1456,110.2368,4.247014284133911
94.1164,126.2328,117.3712,4.2830023765563965
88.2628,118.8336,111.6148,4.315032243728638
97.724,117.1536,115.6888,4.34700608253479
90.7388,125.9664,115.862,4.382967472076416
85.98,118.4924,109.7308,4.415006637573242
102.8696,127.748,123.634,4.447004795074463
89.1492,119.1916,112.1768,4.47896146774292
88.664,122.2284,113.2272,4.514991760253906
102.4388,126.4484,122.546,4.546993970870972
88.2348,122.3668,113.3136,4.579038858413696
81.75,113.2264,106.3212,4.615017890930176
94.604,119.4752,115.794,4.6470253467559814
