red,green,blue,time
141.6272,165.1792,152.7296,0.3999624252319336
140.1784,165.7108,151.028,0.49400949478149414
137.7408,156.066,147.6384,0.49878978729248047
130.8568,151.3516,142.3876,0.5036087036132812
126.4192,149.998,138.8592,0.5129387378692627
125.5348,147.504,136.4084,0.5443141460418701
122.1124,139.9192,132.3812,0.5763740539550781
119.3748,146.0112,133.0748,0.6154983043670654
119.8368,141.63,131.038,0.6476945877075195
116.6988,133.1392,125.8152,0.6796281337738037
117.1864,141.4096,131.956,0.7156620025634766
118.5544,139.8,129.2084,0.7476217746734619
119.3984,138.2436,129.374,0.7797768115997314
118.356,140.1476,129.5964,0.8155856132507324
116.1284,140.9236,128.2908,0.8477563858032227
120.984,129.7404,127.6036,0.8837418556213379
115.1852,143.0372,130.3508,0.9156608581542969
117.7512,139.7408,130.146,0.9448847770690918
115.882,137.8688,129.1068,0.9836945533752441
111.5064,142.3352,129.1996,1.01578688621521
118.414,139.0816,129.3428,1.0476934909820557
111.7776,138.0352,127.6224,1.0833570957183838
113.7132,141.2272,130.3164,1.1119232177734375
114.8584,139.5328,129.1748,1.1454062461853027
113.354,135.7712,127.3332,1.1816582679748535
112.1548,136.8564,128.2556,1.2153573036193848
113.9292,138.5912,128.9564,1.24760103225708
114.8916,129.6028,125.638,1.2837598323822021
111.2424,137.6912,128.1316,1.315741777420044
112.0468,134.4252,126.0328,1.3476989269256592
112.6828,132.8612,125.9952,1.3836863040924072
111.02,133.9848,126.6556,1.4156348705291748
110.5396,138.7592,127.5596,1.4466235637664795
113.5408,132.5852,127.4364,1.4806067943572998
109.5268,133.8824,126.6324,1.5158333778381348
113.2552,135.8532,127.0668,1.547466516494751
110.27,135.3792,126.6924,1.5794355869293213
109.8904,133.69,127.2744,1.6180620193481445
110.9672,136.9064,128.2748,1.6473920345306396
108.9272,123.2256,120.7392,1.6797139644622803
107.8784,134.1592,126.7752,1.7150158882141113
111.5484,135.822,128.12,1.747560977935791
110.218,132.6648,126.608,1.779855728149414
108.6444,133.7556,127.1744,1.815711259841919
112.39,134.8248,127.9304,1.8477041721343994
111.8992,132.5672,127.5768,1.8797736167907715
109.3224,132.5112,127.22,1.915722131729126
110.5344,138.0536,128.0904,1.9476814270019531
110.3708,128.6308,125.4448,1.9798471927642822
107.0364,128.6184,124.946,2.0155551433563232
111.8392,130.3444,126.8092,2.047693967819214
109.8908,129.2612,125.3976,2.0797035694122314
106.2448,130.6764,125.4784,2.1155827045440674
109.9252,132.8176,126.3892,2.147707462310791
107.9676,128.4104,124.808,2.1835479736328125
103.1456,124.696,122.3044,2.215580463409424
108.4564,129.8184,125.794,2.2476284503936768
108.28,126.908,124.164,2.2836291790008545
102.7584,123.3852,121.4852,2.315502405166626
107.3648,133.5548,127.3204,2.3475894927978516
108.2316,124.814,123.9468,2.383608818054199
105.0052,128.6716,125.0256,2.415672779083252
106.862,132.0044,126.7728,2.447683095932007
106.4768,125.122,122.942,2.4835269451141357
105.1828,126.0556,124.5844,2.5153982639312744
