red,green,blue,time
128.7452,150.1076,144.0648,0.3624460697174072
117.822,145.0452,136.0932,0.45323801040649414
120.672,141.8184,135.5192,0.45989513397216797
114.796,137.0388,133.5992,0.4642808437347412
108.4624,139.5524,130.5956,0.4799497127532959
111.818,131.4268,128.2996,0.5115981101989746
111.8424,130.6212,129.2732,0.5436582565307617
100.1348,131.2808,122.6792,0.5796995162963867
102.6816,129.6592,121.9208,0.6151328086853027
107.4672,126.5024,124.4412,0.647528886795044
95.9924,124.1064,117.9336,0.6835708618164062
100.9204,122.5392,117.6976,0.7156493663787842
105.2932,121.9408,122.2636,0.7476730346679688
93.7216,125.868,116.8656,0.7836399078369141
97.962,123.972,118.216,0.8156313896179199
99.4348,121.9352,120.2468,0.8476204872131348
94.9872,123.3324,116.5448,0.8836557865142822
99.9976,120.318,116.4436,0.9156448841094971
97.3568,122.7956,118.5692,0.9476358890533447
94.5392,124.4104,116.6864,0.9835987091064453
94.6756,117.9328,111.9812,1.0156095027923584
98.7192,127.0244,120.4172,1.0475668907165527
86.8872,117.2852,110.834,1.0805411338806152
95.2752,123.0608,116.5344,1.1153221130371094
99.3328,123.6164,121.2384,1.1476268768310547
89.9444,123.2284,114.3972,1.1835265159606934
94.0364,116.21,113.0072,1.2155029773712158
101.8852,120.6968,120.2596,1.2476153373718262
97.1636,123.9004,119.5672,1.2836894989013672
91.358,118.2768,111.8548,1.3156204223632812
101.1544,122.6016,120.2824,1.3477733135223389
93.6992,120.4252,116.4132,1.3835923671722412
92.764,119.9504,114.1516,1.4146077632904053
99.274,117.0908,117.6888,1.4461069107055664
86.824,115.55,111.4388,1.4796624183654785
94.5752,122.9856,115.6996,1.5156018733978271
97.3544,115.894,117.0852,1.5442695617675781
92.542,118.6868,115.4856,1.580348014831543
86.7604,112.2392,107.382,1.615433692932129
92.0832,114.9292,113.2612,1.6475744247436523
92.792,120.1344,115.662,1.683548927307129
93.0828,111.8008,110.9792,1.715590000152588
95.8192,119.986,117.7368,1.7475953102111816
93.3648,118.6884,115.7084,1.7835519313812256
89.0244,115.742,111.0172,1.815601110458374
100.7968,113.9492,118.5728,1.8475444316864014
87.1132,117.0036,112.2792,1.883838415145874
89.9684,119.8992,113.7512,1.9115440845489502
94.4008,110.612,113.5496,1.946488857269287
88.5404,119.0216,112.3896,1.979548454284668
88.4244,115.9612,111.1832,2.012749433517456
92.2964,115.5452,113.0396,2.043649911880493
93.5536,119.9496,116.5232,2.083056926727295
87.5156,117.1184,111.8828,2.115581750869751
96.2324,114.578,115.8044,2.1471757888793945
93.9464,115.3328,115.2268,2.1837410926818848
84.9776,115.5752,109.5472,2.2158854007720947
91.8556,109.9932,111.006,2.2478489875793457
85.1764,113.8596,111.0376,2.283909559249878
87.7848,118.5952,111.5172,2.315760850906372
94.8052,114.2624,113.8132,2.34771466255188
87.0016,115.876,113.002,2.383254051208496
82.7456,112.3692,107.0368,2.41555118560791
93.1756,109.5824,113.6008,2.4476304054260254
89.9412,117.3156,114.4148,2.4797518253326416
84.288,114.5404,109.9068,2.5156633853912354
93.684,116.8768,114.9096,2.548173666000366
86.4824,112.9048,111.9476,2.579747200012207
82.6588,115.0456,109.6692,2.615597724914551
90.0836,114.454,112.876,2.647669553756714
82.484,111.6188,109.3536,2.679614543914795
82.454,112.2568,108.2984,2.7157933712005615
92.2484,116.4912,114.6048,2.747580051422119
85.9096,113.9728,111.5208,2.779583692550659
84.4176,116.4268,110.8812,2.815629482269287
95.2212,114.4712,115.8628,2.8476102352142334
88.498,113.9404,113.9904,2.8834891319274902
92.338,116.3528,114.3396,2.9154927730560303
93.4988,114.1088,113.4312,2.947463035583496
90.6328,112.4204,114.7028,2.983560800552368
84.6424,113.446,111.1824,3.0156502723693848
95.3052,111.0096,114.4092,3.047585964202881
93.1848,109.9456,115.308,3.083533763885498
86.564,116.3676,112.0828,3.1155385971069336
93.3664,113.722,114.9112,3.147474527359009
92.6408,115.6448,116.582,3.1836276054382324
89.5772,116.1408,112.9948,3.215738534927368
91.8924,114.6868,116.3036,3.2477078437805176
88.862,114.448,114.1196,3.2836110591888428
85.3564,114.8372,112.0492,3.315580129623413
93.2404,117.758,115.7184,3.3478646278381348
90.7676,113.6168,116.202,3.3796403408050537
83.3688,113.2304,110.6612,3.4116358757019043
89.2028,111.6128,110.9352,3.443836212158203
91.2436,109.8364,114.6288,3.4762325286865234
85.8104,116.3332,111.508,3.5156173706054688
88.8452,114.8848,114.3004,3.54758882522583
90.85,111.1368,115.2456,3.5796477794647217
85.6632,116.1172,112.8812,3.6157386302948
86.2996,107.114,108.2584,3.647620677947998
88.182,110.676,113.6376,3.679579496383667
83.9936,114.2564,112.342,3.7155981063842773
88.1796,112.3468,111.5048,3.7475829124450684
90.0536,109.7116,114.3648,3.779660940170288
82.7884,112.5984,110.7676,3.8157505989074707
84.5444,106.3672,108.3284,3.847649335861206
88.8072,107.8556,112.18,3.8797214031219482
86.0376,112.9396,113.4924,3.9155852794647217
89.8716,112.5264,113.7056,3.9476053714752197
88.756,108.3692,113.3984,3.9795823097229004
80.8792,112.7204,110.4408,4.015737533569336
87.7916,115.3316,113.3752,4.047601222991943
86.7168,109.438,111.4792,4.0796592235565186
75.1472,107.9016,105.8864,4.115758180618286
81.8248,111.1472,109.86,4.1476500034332275
84.6404,110.7432,111.6192,4.179624795913696
80.3584,112.3856,110.8552,4.215594530105591
84.8928,111.9584,110.1428,4.2476654052734375
88.1664,110.6128,114.5084,4.283657550811768
78.1452,107.8356,107.5292,4.315465688705444
84.3024,108.5944,109.688,4.347705364227295
88.0004,109.2992,113.5424,4.379587650299072
77.8616,109.2264,107.5128,4.415611028671265
82.6276,108.1276,109.8672,4.447649955749512
90.7856,109.4412,114.3592,4.479707479476929
81.0228,111.256,110.8616,4.515623331069946
82.3716,107.576,107.1608,4.547600984573364
90.2056,110.6772,115.3532,4.579608678817749
83.8736,112.3208,111.6888,4.615700960159302
81.626,110.8352,109.6324,4.647704601287842
89.2996,107.446,114.2332,4.679659843444824
76.534,107.9788,106.46,4.71554160118103
77.51,104.7016,105.1028,4.747561931610107
85.7868,109.2976,112.81,4.779543399810791
80.65,111.3304,110.4636,4.815619945526123
83.7152,112.6496,111.458,4.847670793533325
89.2416,110.8032,114.8208,4.879730224609375
83.8496,107.5072,111.0532,4.9117209911346436
78.6984,108.1384,108.2468,4.94703221321106
89.7208,105.9464,113.9032,4.979743003845215
78.902,107.6668,108.672,5.015684366226196
76.8712,108.7752,107.3116,5.047614097595215
85.2996,106.6144,111.4644,5.0796098709106445
80.4476,107.5128,110.4896,5.115670204162598
78.3032,107.2588,108.3444,5.147681951522827
85.7996,105.9876,111.7224,5.179469585418701
81.8876,110.6588,111.3708,5.215548038482666
75.9552,103.2948,104.2312,5.247582912445068
87.0976,109.7132,112.966,5.279635190963745
82.3848,111.354,112.288,5.315615177154541
77.2468,107.1428,107.2708,5.347773313522339
86.03,103.8476,110.5548,5.378389358520508
85.1128,109.6704,112.7584,5.415697336196899
76.854,109.3124,107.67,5.447751522064209
81.696,106.3488,108.0256,5.4797234535217285
80.9368,108.4584,110.6184,5.515592575073242
77.5952,109.358,107.9964,5.545320510864258
85.8844,113.2684,112.9192,5.5759382247924805
75.2156,107.9644,107.9216,5.615754127502441
75.112,107.748,106.79,5.647604942321777
83.6844,106.6744,110.8836,5.679717540740967
77.726,107.1416,108.684,5.715738534927368
73.1736,106.6564,105.7912,5.747684001922607
83.6496,108.902,111.218,5.779618740081787
80.666,106.79,110.2008,5.815718412399292
76.9656,106.7432,107.8108,5.847721338272095
85.6596,106.334,110.438,5.879749536514282
84.2068,109.9736,113.1964,5.915676593780518
73.702,103.0932,103.68,5.947701930999756
78.0752,104.7196,107.6512,5.979730129241943
76.8584,104.1836,107.1924,6.015627145767212
72.4232,100.2772,103.1004,6.047712326049805
83.7668,110.2068,111.982,6.079704761505127
85.4844,104.4772,111.828,6.115689992904663
76.6264,108.8504,108.8764,6.147733926773071
82.5408,108.1368,111.4312,6.1799540519714355
79.794,104.6408,109.7632,6.215696096420288
71.4292,102.0344,104.0768,6.247635126113892
81.9936,105.4892,109.7952,6.279750823974609
76.352,103.2268,107.1892,6.315696954727173
73.7048,106.136,105.4412,6.347592353820801
78.3444,104.9112,107.54,6.379716157913208
74.8252,104.3284,106.0108,6.415694236755371
79.0792,107.1224,109.2776,6.4477314949035645
81.1196,101.8024,107.8,6.479619979858398
76.2132,103.0524,107.6576,6.515710830688477
72.0096,104.852,105.1868,6.547747611999512
76.0044,104.0904,106.6528,6.579709053039551
80.0356,105.6832,110.724,6.615699529647827
74.864,103.388,107.2416,6.647726535797119
76.1988,100.4756,105.4848,6.67971134185791
83.9232,105.2244,112.1236,6.715752601623535
72.372,103.5036,105.8732,6.747809886932373
76.4488,100.178,104.3348,6.779791355133057
75.1012,103.588,108.3592,6.811848402023315
75.9212,105.33,107.1868,6.847762823104858
76.0748,99.0164,103.684,6.879710912704468
81.9264,97.894,107.452,6.911652565002441
73.7672,103.4792,106.4936,6.9476478099823
78.0204,100.4176,106.1932,6.97962760925293
81.7208,107.4456,111.7704,7.0157177448272705
73.2196,106.1584,107.8068,7.047762393951416
74.9632,105.9864,108.0008,7.079769849777222
76.0764,104.5464,107.7308,7.115803241729736
76.1756,107.358,108.522,7.147772550582886
77.58,107.7636,108.7676,7.1798248291015625
80.3768,103.5484,110.7364,7.215686559677124
71.5364,103.1448,105.7224,7.247690916061401
76.734,105.822,107.136,7.27984881401062
79.5192,105.8924,110.606,7.315763711929321
69.0516,101.8152,103.6004,7.347814083099365
76.0176,105.6728,107.4004,7.379777908325195
85.6488,109.4108,113.8416,7.4156882762908936
70.8252,100.1532,103.8556,7.447734117507935
74.2936,103.5008,105.242,7.47973370552063
77.2644,99.5316,106.5528,7.5156896114349365
75.8676,106.734,109.856,7.547730445861816
74.6428,106.0556,106.7224,7.579829692840576
80.0156,101.7928,110.2208,7.615802049636841
72.3968,104.648,106.448,7.647711277008057
70.6648,101.0228,104.1056,7.6798388957977295
79.8348,105.502,110.046,7.711895227432251
70.7744,105.5416,106.3608,7.747910022735596
71.4232,99.328,102.832,7.779916048049927
73.6304,103.4296,105.9924,7.811917066574097
76.2552,106.1276,109.6728,7.847766160964966
70.6676,100.8108,103.4064,7.87821888923645
80.0676,104.8372,110.3272,7.908596515655518
70.6336,102.162,104.8996,7.946169137954712
72.7108,105.4892,106.3988,7.979695796966553
75.6264,104.9224,108.3692,8.011648416519165
70.6896,103.0164,105.494,8.047609567642212
69.9792,100.6052,104.3336,8.079734086990356
80.386,104.8668,110.3752,8.111660480499268
74.6392,103.3924,107.5368,8.145915746688843
69.9928,104.2648,104.2436,8.176090955734253
83.7692,106.482,112.9352,8.21172046661377
69.5048,100.8844,104.6212,8.247583389282227
72.0624,104.5712,106.4236,8.27857780456543
81.1736,103.77,110.6496,8.310266494750977
76.754,103.0196,109.2512,8.343879222869873
67.928,99.352,102.2668,8.3788583278656
80.6316,104.86,110.6076,8.415666580200195
77.2048,101.1256,109.2536,8.447734594345093
70.1988,102.6004,104.598,8.479669570922852
78.644,98.712,108.4292,8.515637636184692
71.4124,104.9136,106.9556,8.547757625579834
73.3028,106.1692,107.958,8.579684257507324
75.6724,102.9408,108.6456,8.615707397460938
75.92,106.4808,110.03,8.647789478302002
66.6112,98.8492,101.966,8.679930210113525
77.5896,107.198,109.6204,8.711695671081543
74.51,106.6504,109.4376,8.74776577949524
72.7172,104.31,106.6732,8.779654502868652
76.748,101.2392,108.4128,8.811711549758911
73.214,102.106,108.2016,8.847841024398804
73.2004,103.584,107.2124,8.879783630371094
