Time (s),Weighted Blue Ratio
0.39769530296325684,0.0
0.4886741638183594,0.0
0.5125963687896729,0.0
0.5447173118591309,0.0
0.578120231628418,0.0
0.6129062175750732,0.0
0.6449036598205566,0.0
0.6768887042999268,0.0
0.7129166126251221,0.0
0.7448520660400391,0.0
0.7770669460296631,0.0
0.8130321502685547,0.0
0.8450474739074707,0.0
0.8770387172698975,0.0
0.9090490341186523,0.0
0.9450445175170898,0.0
0.9768974781036377,0.0
1.0088987350463867,0.0
1.0448784828186035,0.0
1.0768792629241943,0.0
1.1089439392089844,0.0
1.1448931694030762,0.0
1.1768813133239746,0.0
1.208914041519165,0.0
1.2448923587799072,0.0
1.2768707275390625,0.0
1.3089103698730469,0.0
1.344902753829956,0.0
1.3768877983093262,0.0
1.4089181423187256,0.0
1.4446744918823242,0.0
1.4764823913574219,0.0
1.5088911056518555,0.0
1.5451791286468506,6.287078333663269e-10
1.576892375946045,0.0
1.608922004699707,0.0
1.6449148654937744,0.0
1.6770732402801514,1.8512227711635413e-09
1.7130043506622314,5.764571740370517e-08
1.744960069656372,4.246610092446278e-08
1.776963472366333,3.941470130358168e-08
1.8129215240478516,3.4357400376268926e-08
1.8449199199676514,3.98637709393704e-08
1.8769145011901855,3.7508514867080244e-08
1.908902645111084,3.802158321338053e-08
1.9448776245117188,3.1906048549619705e-08
1.9769062995910645,3.2436173204546e-08
2.0088961124420166,2.366696328953928e-08
2.0449259281158447,2.1677203114490477e-08
2.076892852783203,2.4517393198773093e-08
2.108900785446167,2.093127223563057e-08
2.144981861114502,1.9873316312729478e-08
2.176910400390625,3.115463987913403e-08
2.2089734077453613,3.4825817103650596e-08
2.2449557781219482,2.9983145573966176e-08
2.2769460678100586,2.3567914900844046e-08
2.308978796005249,2.6298872582694775e-08
2.3449864387512207,3.1541863267757535e-08
2.37701416015625,3.1520650989532254e-08
2.40893816947937,3.128695714849777e-08
2.444892644882202,4.845864293284093e-08
2.4769928455352783,5.625219184428667e-08
2.509140968322754,4.6567486696746114e-08
2.5449788570404053,4.0179870645677206e-08
2.5769269466400146,4.9190055973702886e-08
2.6088695526123047,5.822048005086391e-08
2.6448965072631836,4.9363613601981826e-08
2.6768977642059326,3.512840267773073e-08
2.7089104652404785,4.455030900622851e-08
2.7449069023132324,4.5078071975761925e-08
2.7768588066101074,4.6086244326968884e-08
2.80885648727417,4.0631197050658256e-08
2.844900131225586,4.6021963549336215e-08
2.8768563270568848,5.19376684695074e-08
2.9088497161865234,4.784511853266604e-08
2.9449119567871094,6.282609694673116e-08
2.977170467376709,6.816258324797686e-08
3.009164571762085,6.04260707441877e-08
3.045156478881836,6.25441407721084e-08
3.0771703720092773,6.04054540142662e-08
3.109177589416504,5.1726660727279345e-08
3.1451573371887207,5.8466984055367055e-08
3.1771697998046875,4.83898344132984e-08
3.209170341491699,4.025322160845934e-08
3.2451961040496826,4.36964996728893e-08
3.2772624492645264,4.8103048724791236e-08
3.3092525005340576,4.817798479061909e-08
3.345282554626465,3.8653381887165714e-08
3.3772337436676025,4.2275395163637564e-08
3.409268856048584,4.818267355615116e-08
3.4454190731048584,4.955435327441415e-08
3.4772651195526123,4.9246079928312546e-08
3.509251117706299,4.693438855848969e-08
3.5452780723571777,4.686505033899838e-08
3.577272891998291,4.834679048410534e-08
3.609269618988037,4.0720857668972085e-08
3.645261287689209,4.351781593826208e-08
3.6772820949554443,4.6812266199350145e-08
3.7092642784118652,2.070280488421464e-08
3.74522066116333,3.067133129193704e-08
3.7772748470306396,2.6267425431177122e-08
3.8092525005340576,3.088064720947554e-08
3.8452422618865967,1.2530984883112203e-08
3.877237319946289,2.1285603393411472e-08
3.9092650413513184,1.737913000634745e-08
3.9452672004699707,1.5731379831857997e-08
3.9772396087646484,1.140827219162205e-08
4.009280443191528,1.4089246569514989e-08
4.045278787612915,1.1809990217751934e-08
4.077271938323975,4.2574516516412725e-09
4.109275579452515,4.2090193621379385e-09
4.141392230987549,1.7465531095583318e-09
4.177393198013306,4.2928070193507246e-09
4.20934534072876,3.328618243675608e-09
4.241137742996216,0.0
4.277305841445923,3.3020032107088934e-09
4.309302091598511,5.047803042083893e-09
4.3413026332855225,9.160955309679389e-09
4.37736701965332,6.848587434687021e-09
4.409411430358887,6.668927968091859e-09
4.445068120956421,0.0
4.477397203445435,1.680984004542635e-09
4.5093324184417725,7.561879333245917e-09
4.545384168624878,8.286985955969282e-10
4.577110052108765,0.0
4.6090989112854,0.0
4.645466327667236,2.479625332830089e-09
4.677300214767456,1.6698505618816829e-09
4.709031820297241,0.0
4.745091676712036,0.0
4.777031898498535,0.0
4.809036016464233,0.0
4.844989061355591,0.0
4.877055883407593,0.0
4.90931248664856,1.6601720167813041e-09
4.945245027542114,2.5157336748443373e-09
4.977290868759155,1.675298878680913e-09
5.009312152862549,4.206751309804517e-09
5.041244268417358,2.507845262150008e-09
5.077292442321777,2.4882173204072384e-09
5.109096050262451,0.0
5.141304016113281,1.6801524046483464e-09
5.177276849746704,1.7555883090695761e-09
5.209115266799927,0.0
5.241142511367798,0.0
5.277164459228516,1.7426034414362215e-09
5.308956146240234,0.0
5.341144323348999,4.383855468906386e-09
5.376883506774902,0.0
5.408875942230225,0.0
5.440909147262573,0.0
5.476997375488281,0.0
5.50905966758728,0.0
5.541126012802124,0.0
5.577099084854126,0.0
5.609179735183716,3.3573981126927852e-09
5.640987396240234,0.0
5.677058219909668,5.903066448935885e-09
5.709127902984619,5.150022264338866e-09
5.740972995758057,0.0
5.777136564254761,2.577304636715023e-09
5.809146165847778,1.6861255246809333e-09
5.844989776611328,0.0
5.877194404602051,4.247160187126496e-09
5.9089319705963135,0.0
5.945101976394653,1.7111126085975986e-09
5.977188348770142,6.02326683858069e-09
6.009109735488892,2.5498965041085765e-09
6.0410802364349365,9.569805945875036e-09
6.077049493789673,4.268919270998465e-09
6.109139919281006,6.660945355526152e-09
6.141116380691528,4.327628282554215e-09
6.177102327346802,4.272230139908153e-09
6.209132432937622,3.4429620571329378e-09
6.241129636764526,1.719208725450531e-09
6.277119159698486,8.519476217739338e-10
6.3091511726379395,8.521265577012877e-10
6.341136455535889,3.420830920842365e-09
6.377136468887329,5.0742221620727095e-09
6.408968448638916,0.0
6.441136598587036,1.0255688719140866e-08
6.477107048034668,5.129286874423245e-09
6.509142160415649,7.55991141088144e-09
6.5410850048065186,5.1215877535219055e-09
6.577098369598389,1.3805252255903468e-08
6.609130620956421,5.115446933085479e-09
6.641090631484985,8.732633697536476e-09
6.677088975906372,1.7157362221003533e-09
6.709062099456787,6.044519800788555e-09
6.741129636764526,3.5647205019100976e-09
6.777072429656982,1.1197280647885732e-08
6.809080362319946,6.902456694894088e-09
6.841097593307495,6.796082893836586e-09
6.877093076705933,6.029961805506364e-09
6.909078359603882,6.91425036304294e-09
6.9410974979400635,6.0323843039628394e-09
6.9770660400390625,1.2216046093428331e-08
7.009029150009155,6.787606792321486e-09
7.041199684143066,5.097558128206199e-09
7.077258348464966,5.836755531789315e-09
7.109255313873291,5.908480827560223e-09
7.141244411468506,7.861633790727986e-09
7.1772141456604,1.0644479999691771e-08
7.209271430969238,9.481682990365002e-09
7.241269826889038,1.016934911951079e-08
7.277282953262329,1.6070244469085082e-08
7.309272050857544,1.6970473100018608e-08
7.341343879699707,1.598580073690339e-08
7.377178430557251,1.8499409916478234e-08
7.409296989440918,2.3509732236560282e-08
7.441206216812134,1.517645880765364e-08
7.477264165878296,2.3221219385076488e-08
7.509215354919434,2.0703879622809495e-08
7.541228771209717,2.1582206112784323e-08
7.577226638793945,2.4852095807326895e-08
